time,drone_id,x,y,z,target_x,target_y,target_z,formation_error,min_distance
0.1,1,0.1807,0.0857,2.0,20.0,10.0,2.0,0.0,2.9086
0.1,2,-2.0049,-2.0049,2.0,20.0,10.0,2.0,0.2065,2.9086
0.1,3,-2.0049,2.0049,2.0,20.0,10.0,2.0,0.2024,2.9086
0.2,1,0.3611,0.1722,2.0,20.0,10.0,2.0,0.0,2.9829
0.2,2,-1.9789,-1.9922,2.0,20.0,10.0,2.0,0.3776,2.9829
0.2,3,-1.9816,2.0186,2.0,20.0,10.0,2.0,0.3755,2.9829
0.3,1,0.5402,0.2611,2.0,20.0,10.0,2.0,0.0,3.0478
0.3,2,-1.9313,-1.9692,2.0,20.0,10.0,2.0,0.5247,3.0478
0.3,3,-1.9342,2.0405,2.0,20.0,10.0,2.0,0.5232,3.0478
0.4,1,0.719,0.3506,2.0,20.0,10.0,2.0,0.0,3.1069
0.4,2,-1.8653,-1.9369,2.0,20.0,10.0,2.0,0.6512,3.1069
0.4,3,-1.8678,2.0714,2.0,20.0,10.0,2.0,0.6499,3.1069
0.5,1,0.8979,0.4401,2.0,20.0,10.0,2.0,0.0,3.1609
0.5,2,-1.7835,-1.8967,2.0,20.0,10.0,2.0,0.7601,3.1609
0.5,3,-1.7856,2.1105,2.0,20.0,10.0,2.0,0.7588,3.1609
0.6,1,1.0767,0.5296,2.0,20.0,10.0,2.0,0.0,3.2096
0.6,2,-1.6881,-1.8495,2.0,20.0,10.0,2.0,0.8537,3.2096
0.6,3,-1.6899,2.1566,2.0,20.0,10.0,2.0,0.8526,3.2096
0.7,1,1.2556,0.6191,2.0,20.0,10.0,2.0,0.0,3.2531
0.7,2,-1.581,-1.7964,2.0,20.0,10.0,2.0,0.9341,3.2531
0.7,3,-1.5826,2.2089,2.0,20.0,10.0,2.0,0.9332,3.2531
0.8,1,1.4344,0.7087,2.0,20.0,10.0,2.0,0.0,3.2916
0.8,2,-1.4639,-1.7383,2.0,20.0,10.0,2.0,1.0034,3.2916
0.8,3,-1.4652,2.2663,2.0,20.0,10.0,2.0,1.0026,3.2916
0.9,1,1.6133,0.7982,2.0,20.0,10.0,2.0,0.0,3.3255
0.9,2,-1.3381,-1.6757,2.0,20.0,10.0,2.0,1.0629,3.3255
0.9,3,-1.3393,2.3282,2.0,20.0,10.0,2.0,1.0622,3.3255
1.0,1,1.7922,0.8877,2.0,20.0,10.0,2.0,0.0,3.3552
1.0,2,-1.2049,-1.6094,2.0,20.0,10.0,2.0,1.1141,3.3552
1.0,3,-1.2059,2.394,2.0,20.0,10.0,2.0,1.1135,3.3552
1.1,1,1.971,0.9772,2.0,20.0,10.0,2.0,0.0,3.3812
1.1,2,-1.0653,-1.5398,2.0,20.0,10.0,2.0,1.1581,3.3812
1.1,3,-1.0662,2.4631,2.0,20.0,10.0,2.0,1.1576,3.3812
1.2,1,2.1499,1.0667,2.0,20.0,10.0,2.0,0.0,3.4039
1.2,2,-0.9202,-1.4674,2.0,20.0,10.0,2.0,1.196,3.4039
1.2,3,-0.921,2.5351,2.0,20.0,10.0,2.0,1.1955,3.4039
1.3,1,2.3287,1.1562,2.0,20.0,10.0,2.0,0.0,3.4236
1.3,2,-0.7704,-1.3926,2.0,20.0,10.0,2.0,1.2285,3.4236
1.3,3,-0.7711,2.6095,2.0,20.0,10.0,2.0,1.2282,3.4236
1.4,1,2.5076,1.2457,2.0,20.0,10.0,2.0,0.0,3.4407
1.4,2,-0.6165,-1.3158,2.0,20.0,10.0,2.0,1.2565,3.4407
1.4,3,-0.6171,2.6861,2.0,20.0,10.0,2.0,1.2562,3.4407
1.5,1,2.6864,1.3352,2.0,20.0,10.0,2.0,0.0,3.4555
1.5,2,-0.4592,-1.2372,2.0,20.0,10.0,2.0,1.2806,3.4555
1.5,3,-0.4596,2.7644,2.0,20.0,10.0,2.0,1.2803,3.4555
